
# list of issues fixed with this release (previous release was 3.3.1)

# commit             date                 issue      message

  e3e048c2d9    2021-04-08T15:48:59+02:00    5431    Fix #5431 avoid serialization error in widget rest v2
  dcc3b7c51a    2021-04-08T12:25:50+02:00    5427    Fix #5427. on refresh geovalues are not loaded in particular case
  552494e48f    2021-04-08T10:53:32+02:00    5379    Fix #5379 restored missing geo style rules params
  5c11eb7de5    2021-04-07T17:59:22+02:00    5424    Fix #5424 added new scheduler config
  4a6733315c    2021-04-07T15:37:55+02:00    5419    fix #5419 remove card load to get its description
  5eb8a233f3    2021-04-07T09:54:45+02:00    5421    fix #5421 domain master detail label visibility
  e4ec5f661d    2021-04-07T09:22:48+02:00    5420    Fix #5420
  21fa9e655c    2021-04-06T14:43:19+02:00    5416    fix #5416 Add Attachment doesn't work when only one cat value is used
  e960c96e16    2021-04-06T12:31:30+02:00    5182    Fix #5182
  8acc2bc4a3    2021-04-02T12:47:06+02:00    5407    Fix #5407 attachment counter now handles dms permissions
  ddb590f73f    2021-04-02T11:51:34+02:00    5413    fix #5413 dashboard - minor fixes
  06ab26b85a    2021-04-02T10:54:37+02:00    5189    Fix #5189 added attachment visibility test for dms rest tests
  edb9be7d06    2021-04-01T16:58:15+02:00    4990    fix #4990 cannot reuse filters-launcher cmp
  21cec28921    2021-04-01T16:26:42+02:00    5142    fix #5142 : add per-user access control to gate ws
  edbd1b7f02    2021-04-01T16:11:19+02:00    5403    fix #5403 widget onTargetFormOpen not fired after page refresh
  ab90d85254    2021-04-01T14:58:03+02:00    5410    fix #5410 fixed order by Tenant field in grids
  bb0fb1af58    2021-04-01T12:32:40+02:00    5409    Fix #5409
  e4bf7fc8a1    2021-04-01T11:57:34+02:00    5359    Fix #5359 added BeforeClass annotation support for test runner
  36cb8a4615    2021-04-01T10:54:22+02:00    4854    fix #4854 Add the possibility to sort grants list by mode
  36d21c2c08    2021-04-01T10:25:23+02:00    5406    Fix #5406 fixed calendar tests to fit new specs
  22ef1258bd    2021-04-01T09:47:35+02:00    5397    Fix #5397 fixed sorter handling when attachment filter is applied
  fbd8266e7a    2021-03-31T16:56:13+02:00    5402    fix #5402 Firefox error on saving attribute twice
  b3a5fb2005    2021-03-31T15:52:44+02:00    5382    Fix #5382 handled cal trigger code in endpoint and translations
  59237a07d7    2021-03-31T15:24:55+02:00    5382    Fix #5382 added code handling and translation handling patch for cal trigger
  f2aed86d30    2021-03-31T15:03:56+02:00    5399    fix #5399 delete button of preview icon refactor
  477df275c2    2021-03-31T15:02:27+02:00    5398    fix #5398 administration - gis and relation navtree circular domains
  12d27c7e90    2021-03-31T14:39:21+02:00    5171    Fix #5171 add set value functions for reference and lookup in set value api
  d242866863    2021-03-30T16:28:32+02:00    5363    Fix #5363. removed disabled classes from domain
  66febb160b    2021-03-30T12:51:51+02:00    5386    Fix #5386 add ignore custom fields features in getFormField
  688b08c2eb    2021-03-30T12:17:52+02:00    5387    fix #5387 In custom components and custom page, files fieldset shuold be visble in view mode
  e1d6ec0b4f    2021-03-30T11:58:49+02:00    5253    FIX #5253 Enable/Disable button for dashboard does not work
  90a5414721    2021-03-30T11:22:15+02:00    5385    Fix #5385 added test for mandatory and active checkbox
  39e348e506    2021-03-30T09:39:31+02:00    5384    Fix #5384 changed cron of dashboard load to run weekly on sunday
  97a49fb4fe    2021-03-29T18:11:08+02:00    5378    Fix #5378 add check if response.data is not null
  11bf183329    2021-03-29T17:27:29+02:00    5383    fix #5383 Administration - Menu nav tree activr toggle button error
  20f40ea45d    2021-03-29T17:11:15+02:00    5356    fix #5356 : cal event descr/content translation
  4c56753fb5    2021-03-29T16:42:01+02:00    5220    Fix #5220 set remoteSort after store first load
  23bd4e80e9    2021-03-29T16:14:48+02:00    5313    fix #5313 : issue in `_cm3_translation_lookup_get(bigint)`
  332cb48bc9    2021-03-29T14:23:29+02:00    5120    fix #5120 Regexp unexpected identifier on Edge and Firefox
  fa43f1d7dd    2021-03-29T11:51:25+02:00    5366    Removed the save action for the dmsFilters only. Added different visibility for the filter-launcer. Fix #5366
  4430899081    2021-03-29T10:30:24+02:00    5266    fix #5266 Strange behaviour while configuring group users
  c60cc43b87    2021-03-26T17:25:53+01:00    5375    Fix #5375 improved administration history dashboard
  9ac11911f1    2021-03-26T15:23:29+01:00    5361    fix #5361 : fixed issue when processing cad import context filter
  918f877f05    2021-03-26T13:29:52+01:00    5376    fix #5376 Error downloading report in CSV format
  b1b733b0aa    2021-03-26T09:49:38+01:00    5368    fix #5368 Incoherent behaviour when deactivating GIS layers visibility
  99947aaf01    2021-03-25T17:52:42+01:00    5298    fix #5298 Disable inline attachments option in the properties of a process class
  80faad1649    2021-03-25T11:56:54+01:00    5351    Fix #5351 updated dms filtering to query common dms model
